name,id,nametype,recclass,mass,year,reclat,reclong
Forest City,10119,Valid,H5,152000,1890-01-01T00:00:00.000,43.250000,-93.666670
Forest Vale,10120,Valid,H4,26000,1942-01-01T00:00:00.000,-33.350000,146.858330
Forksville,10123,Valid,L6,6067,1924-01-01T00:00:00.000,36.783330,-78.083330
Forsbach,10163,Valid,H6,240,1900-01-01T00:00:00.000,50.950000,7.316670
Forsyth,10164,Valid,L6,16300,1829-01-01T00:00:00.000,33.016670,-83.966670
Fort Flatters,10166,Valid,Stone-uncl,,1944-01-01T00:00:00.000,28.250000,7.000000
Frankfort (stone),10177,Valid,Howardite,650,1868-01-01T00:00:00.000,34.483330,-87.833330
Fuhe,52412,Valid,L5,23000,1945-01-01T00:00:00.000,31.475560,113.566940
Fukutomi,10836,Valid,L5,11620,1882-01-01T00:00:00.000,33.183330,130.200000
Fünen,10838,Valid,Stone-uncl,,1654-01-01T00:00:00.000,55.333330,10.333330
Futtehpur,10839,Valid,L6,4000,1822-01-01T00:00:00.000,25.950000,80.816670
Fuyang,10840,Valid,Stone-uncl,2500,1977-01-01T00:00:00.000,32.900000,115.900000
Galapian,10846,Valid,H6,132.69999999999999,1826-01-01T00:00:00.000,44.300000,0.400000
Galim (a),10848,Valid,LL6,36.1,1952-01-01T00:00:00.000,7.050000,12.433330
Galim (b),10849,Valid,EH3/4-an,28,1952-01-01T00:00:00.000,7.050000,12.433330
Galkiv,10850,Valid,H4,5000,1995-01-01T00:00:00.000,51.683330,30.783330
Gambat,10851,Valid,L6,6400,1897-01-01T00:00:00.000,27.350000,68.533330
Gao-Guenie,10854,Valid,H5,,1960-01-01T00:00:00.000,11.650000,-2.183330
Garhi Yasin,10860,Valid,"Iron, IIE",380,1917-01-01T00:00:00.000,27.883330,68.533330
Garland,10861,Valid,Diogenite-pm,102,1950-01-01T00:00:00.000,41.683330,-112.133330
Gashua,44882,Valid,L6,4162,1984-01-01T00:00:00.000,12.850000,11.033330
Gasseltepaoua,10866,Valid,H5,,2000-01-01T00:00:00.000,14.150830,-2.041670
Geidam,10870,Valid,H5,725,1950-01-01T00:00:00.000,12.916670,11.916670
Gifu,10914,Valid,L6,14290,1909-01-01T00:00:00.000,35.533330,136.883330
Girgenti,10917,Valid,L6,18000,1853-01-01T00:00:00.000,37.316670,13.566670
Git-Git,10919,Valid,L6,480,1947-01-01T00:00:00.000,9.600000,9.916670
Glanerbrug,10923,Valid,L/LL5,670,1990-01-01T00:00:00.000,52.200000,6.866670
Glanggang,10924,Valid,H5-6,1303,1939-01-01T00:00:00.000,-7.250000,107.700000
Glasatovo,10926,Valid,H4,152000,1918-01-01T00:00:00.000,57.350000,37.616670
Glatton,10930,Valid,L6,767,1991-01-01T00:00:00.000,52.459720,-0.300000
Gnadenfrei,10936,Valid,H5,1750,1879-01-01T00:00:00.000,50.666670,16.766670
Gopalpur,10948,Valid,H6,1600,1865-01-01T00:00:00.000,24.233330,89.050000
Gorlovka,10949,Valid,H3.7,3618,1974-01-01T00:00:00.000,48.283330,38.083330
Granes,10956,Valid,L6,9000,1964-01-01T00:00:00.000,42.900000,2.250000
Grefsheim,11196,Valid,L5,45.5,1976-01-01T00:00:00.000,60.666670,11.000000
Grimsby,50911,Valid,H5,215,2009-01-01T00:00:00.000,43.200000,-79.616670
Grosnaja,11206,Valid,CV3,3500,1861-01-01T00:00:00.000,43.666670,45.383330
Gross-Divina,11207,Valid,H5,10500,1837-01-01T00:00:00.000,49.266670,18.716670
Grossliebenthal,11208,Valid,L6,8000,1881-01-01T00:00:00.000,46.350000,30.583330
Grüneberg,11426,Valid,H4,1000,1841-01-01T00:00:00.000,51.933330,15.500000
Grzempach,11429,Valid,H5,690,1910-01-01T00:00:00.000,52.866670,16.633330
Gualeguaychú,11432,Valid,H6,22000,1932-01-01T00:00:00.000,-33.000000,-58.616670
Guangmingshan,11435,Valid,H5,2910,1996-01-01T00:00:00.000,39.804170,122.763890
Guangnan,11436,Valid,L6,,1983-01-01T00:00:00.000,24.100000,105.000000
Guangrao,11437,Valid,L6,1900,1980-01-01T00:00:00.000,37.100000,118.400000
Guareña,11439,Valid,H6,39000,1892-01-01T00:00:00.000,38.733330,-6.016670
Guêa,11440,Valid,Stone-uncl,1915,1891-01-01T00:00:00.000,43.766670,20.233330
Guibga,11442,Valid,L5,288,1972-01-01T00:00:00.000,13.500000,-0.683330
Guidder,11443,Valid,LL5,968,1949-01-01T00:00:00.000,9.916670,13.983330
Gujargaon,11448,Valid,H5,2449,1982-01-01T00:00:00.000,22.983330,76.050000
Gujba,11449,Valid,CBa,100000,1984-01-01T00:00:00.000,11.491670,11.658330
Gumoschnik,11450,Valid,H5,5700,1904-01-01T00:00:00.000,42.900000,24.700000
Gurram Konda,11464,Valid,L6,28,1814-01-01T00:00:00.000,13.783330,78.566670
Gursum,11465,Valid,H4/5,34650,1981-01-01T00:00:00.000,9.366670,42.416670
Gütersloh,11466,Valid,H3/4,1000,1851-01-01T00:00:00.000,51.916670,8.383330
Gyokukei,11467,Valid,OC,1320,1930-01-01T00:00:00.000,35.000000,127.500000
Hachi-oji,11468,Valid,H?,0.2,1817-01-01T00:00:00.000,35.650000,139.333330
Hainaut,11472,Valid,H3-6,9000,1934-01-01T00:00:00.000,50.316670,3.733330
Hallingeberg,11479,Valid,L3.4,1456,1944-01-01T00:00:00.000,57.816670,16.233330
Hamlet,11485,Valid,LL4,3710,1959-01-01T00:00:00.000,41.383330,-86.600000
Haraiya,11824,Valid,Eucrite-mmict,1000,1878-01-01T00:00:00.000,26.800000,82.533330
Haripura,11829,Valid,CM2,315,1921-01-01T00:00:00.000,28.383330,75.783330
Harleton,11830,Valid,L6,8360,1961-01-01T00:00:00.000,32.675000,-94.511670
Harrison County,11842,Valid,L6,680,1859-01-01T00:00:00.000,38.250000,-86.166670
Hashima,11848,Valid,H4,1110.5999999999999,1910-01-01T00:00:00.000,35.294500,136.700330
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",1250,1890-01-01T00:00:00.000,28.950000,0.816670
Hatford,11855,Valid,Stone-uncl,29000,1628-01-01T00:00:00.000,51.650000,-1.516670
Haverö,11859,Valid,Ureilite,1544,1971-01-01T00:00:00.000,60.245560,22.061940
Hedeskoga,11869,Valid,H5,3500,1922-01-01T00:00:00.000,55.466670,13.783330
Hedjaz,11870,Valid,L3.7-6,6100,1910-01-01T00:00:00.000,27.333330,35.666670
Heredia,11875,Valid,H5,1000,1857-01-01T00:00:00.000,10.000000,-84.100000
Hessle,11878,Valid,H5,20000,1869-01-01T00:00:00.000,59.850000,17.666670
Higashi-koen,11883,Valid,H5,750,1897-01-01T00:00:00.000,33.600000,130.433330
High Possil,11884,Valid,L6,4500,1804-01-01T00:00:00.000,55.900000,-4.233330
Hiroshima,11889,Valid,H5,414,2003-01-01T00:00:00.000,34.450000,132.383330
Hoima,44714,Valid,H6,167.7,2003-01-01T00:00:00.000,1.345000,31.472780
Hökmark,11893,Valid,L4,305.5,1954-01-01T00:00:00.000,64.433330,21.200000
Holbrook,11894,Valid,L/LL6,220000,1912-01-01T00:00:00.000,34.900000,-110.183330
Holetta,11895,Valid,Stone-uncl,1415,1923-01-01T00:00:00.000,9.066670,38.416670
Homestead,11901,Valid,L5,230000,1875-01-01T00:00:00.000,41.800000,-91.866670
Honolulu,11904,Valid,L5,2420,1825-01-01T00:00:00.000,21.300000,-157.866670
Hotse,11913,Valid,L6,180,1956-01-01T00:00:00.000,35.666670,115.500000
Hoxie,11915,Valid,OC,266.10000000000002,1963-01-01T00:00:00.000,39.350000,-100.450000
Hraschina,11916,Valid,"Iron, IID",49000,1751-01-01T00:00:00.000,46.100000,16.333330
Huaxi,54719,Valid,H5,1600,2010-01-01T00:00:00.000,26.464690,106.632410
Hungen,11986,Valid,H6,112,1877-01-01T00:00:00.000,50.300000,8.916670
Hvittis,11989,Valid,EL6,14000,1901-01-01T00:00:00.000,61.183330,22.683330
Ibbenbüren,11992,Valid,Diogenite,2000,1870-01-01T00:00:00.000,52.283330,7.700000
Ibitira,11993,Valid,Eucrite-mmict,2500,1957-01-01T00:00:00.000,-20.000000,-45.000000
Ibrisim,11994,Valid,OC,,1949-01-01T00:00:00.000,38.000000,35.000000
Ichkala,11995,Valid,H6,3973,1936-01-01T00:00:00.000,58.200000,82.933330
Idutywa,12000,Valid,H5,3457,1956-01-01T00:00:00.000,-32.100000,28.333330
Iguaracu,12003,Valid,H5,1200,1977-01-01T00:00:00.000,-23.200000,-51.833330
Ijopega,12004,Valid,H6,7330,1975-01-01T00:00:00.000,-6.033330,145.366670
Indarch,12027,Valid,EH4,27000,1891-01-01T00:00:00.000,39.750000,46.666670
Independence,12028,Valid,L6,880,1917-01-01T00:00:00.000,39.083330,-94.400000
Inner Mongolia,12037,Valid,L6,3000,1963-01-01T00:00:00.000,41.000000,112.000000
Innisfree,12039,Valid,L5,4576,1977-01-01T00:00:00.000,53.415000,-111.337500
Ipiranga,12043,Valid,H6,7000,1972-01-01T00:00:00.000,-25.500000,-54.500000
Ishinga,12049,Valid,H,1300,1954-01-01T00:00:00.000,-8.933330,33.800000
Isthilart,12053,Valid,H5,3050,1928-01-01T00:00:00.000,-31.183330,-57.950000
Itapicuru-Mirim,12056,Valid,H5,2024,1879-01-01T00:00:00.000,-3.400000,-44.333330
Itqiy,12058,Valid,EH7-an,4720,1990-01-01T00:00:00.000,26.590830,-12.952170
Ivuna,12063,Valid,CI1,704.5,1938-01-01T00:00:00.000,-8.416670,32.433330
Jackalsfontein,12065,Valid,L6,48000,1903-01-01T00:00:00.000,-32.500000,21.900000
Jajh deh Kot Lalu,12067,Valid,EL6,973,1926-01-01T00:00:00.000,26.750000,68.416670
Jalanash,12068,Valid,Ureilite,700,1990-01-01T00:00:00.000,,
Jalandhar,12069,Valid,Iron,1967,1621-01-01T00:00:00.000,31.000000,75.000000
Jamkheir,12072,Valid,H6,22,1866-01-01T00:00:00.000,18.750000,75.333330
Jartai,12074,Valid,L6,20500,1979-01-01T00:00:00.000,39.700000,105.800000
Jelica,12078,Valid,LL6,34000,1889-01-01T00:00:00.000,43.833330,20.441670
Jemlapur,12079,Valid,L6,450,1901-01-01T00:00:00.000,,
Jesenice,51589,Valid,L6,3667,2009-01-01T00:00:00.000,46.421370,14.052170
Jhung,12085,Valid,L5,5900,1873-01-01T00:00:00.000,31.300000,72.383330
Jiange,12086,Valid,H5,222,1964-01-01T00:00:00.000,31.916670,104.916670
Jianshi,12087,Valid,"Iron, IIIAB",600000,1890-01-01T00:00:00.000,30.808330,109.500000
Jilin,12171,Valid,H5,4000000,1976-01-01T00:00:00.000,44.050000,126.166670
Jodiya,47362,Valid,L5,100,2006-01-01T00:00:00.000,22.680000,70.313330
Jodzie,12173,Valid,Howardite,30,1877-01-01T00:00:00.000,55.700000,24.400000
Johnstown,12198,Valid,Diogenite,40300,1924-01-01T00:00:00.000,40.350000,-104.900000
Jolomba,12199,Valid,LL6,483,1974-01-01T00:00:00.000,-11.850000,15.833330
Jonzac,12202,Valid,Eucrite-mmict,5000,1819-01-01T00:00:00.000,45.433330,-0.450000
Juancheng,12203,Valid,H5,100000,1997-01-01T00:00:00.000,35.500000,115.416670
Judesegeri,12207,Valid,H6,680,1876-01-01T00:00:00.000,12.850000,76.800000
Jumapalo,12209,Valid,L6,32490,1984-01-01T00:00:00.000,-7.716670,111.200000
Junan,12210,Valid,L6,950,1976-01-01T00:00:00.000,35.200000,118.800000
Juromenha,12213,Valid,"Iron, IIIAB",25250,1968-01-01T00:00:00.000,38.740280,-7.270000
Juvinas,12214,Valid,Eucrite-mmict,91000,1821-01-01T00:00:00.000,44.716670,4.300000
Kaba,12218,Valid,CV3,3000,1857-01-01T00:00:00.000,47.350000,21.300000
Kabo,12220,Valid,H4,13400,1971-01-01T00:00:00.000,11.850000,8.216670
Kadonah,12221,Valid,H6,89,1822-01-01T00:00:00.000,27.083330,78.333330
Kaee,12222,Valid,H5,230,1838-01-01T00:00:00.000,27.250000,79.966670
Kagarlyk,12227,Valid,L6,1900,1908-01-01T00:00:00.000,49.866670,30.833330
Kaidun,12228,Valid,CR2,2000,1980-01-01T00:00:00.000,15.000000,48.300000
Kainsaz,12229,Valid,CO3.2,200000,1937-01-01T00:00:00.000,55.433330,53.250000
Kakangari,12230,Valid,K3,350,1890-01-01T00:00:00.000,12.383330,78.516670
Kakowa,12231,Valid,L6,577,1858-01-01T00:00:00.000,45.133330,21.666670
Kalaba,12232,Valid,H4,950,1951-01-01T00:00:00.000,-6.833330,29.500000
Kalumbi,12236,Valid,L6,4500,1879-01-01T00:00:00.000,17.833330,73.983330
Kamalpur,12238,Valid,L6,2770,1942-01-01T00:00:00.000,26.033330,81.466670
Kamiomi,12240,Valid,H5,448,1913-01-01T00:00:00.000,36.041670,139.956670
Kamsagar,12241,Valid,L6,1293,1902-01-01T00:00:00.000,14.183330,75.800000
Kandahar (Afghanistan),12243,Valid,L6,299,1959-01-01T00:00:00.000,31.600000,65.783330
Kangean,12245,Valid,H5,1630,1908-01-01T00:00:00.000,-7.000000,115.500000
Kangra Valley,12246,Valid,H5,400,1897-01-01T00:00:00.000,32.083330,76.300000
Kapoeta,12251,Valid,Howardite,11355,1942-01-01T00:00:00.000,4.700000,33.633330
Kaprada,47357,Valid,L5/6,1600,2004-01-01T00:00:00.000,20.339160,73.223290
Kaptal-Aryk,12253,Valid,L6,3500,1937-01-01T00:00:00.000,42.450000,73.366670
Karakol,12256,Valid,LL6,3000,1840-01-01T00:00:00.000,47.216670,81.016670
Karatu,12258,Valid,LL6,2220,1963-01-01T00:00:00.000,-3.500000,35.583330
Karewar,12260,Valid,L6,180,1949-01-01T00:00:00.000,12.900000,7.150000
Karkh,12262,Valid,L6,22000,1905-01-01T00:00:00.000,27.800000,67.166670
Karloowala,12263,Valid,L6,2950,1955-01-01T00:00:00.000,31.583330,71.600000
Karoonda,12264,Valid,CK4,41730,1930-01-01T00:00:00.000,-35.083330,139.916670
Kasamatsu,12266,Valid,H,710,1938-01-01T00:00:00.000,35.366670,136.766670
Kasauli,30740,Valid,H4,16820,2003-01-01T00:00:00.000,29.583330,77.583330
Katagum,35465,Valid,L6,1500,1999-01-01T00:00:00.000,11.333330,10.083330
Kavarpura,47351,Valid,"Iron, IIE-an",6800,2006-01-01T00:00:00.000,25.143330,75.813330
Kayakent,12268,Valid,"Iron, IIIAB",85000,1961-01-01T00:00:00.000,39.263330,31.780000
Kediri,12270,Valid,L4,3300,1940-01-01T00:00:00.000,-7.750000,112.016670
Kemer,53654,Valid,L4,5760,2008-01-01T00:00:00.000,36.541940,29.418220
Kendleton,12275,Valid,L4,6937,1939-01-01T00:00:00.000,29.450000,-96.000000
Kendrapara,12276,Valid,H4-5,6669.2,2003-01-01T00:00:00.000,20.462500,86.702780
Kerilis,12282,Valid,H5,5000,1874-01-01T00:00:00.000,48.400000,-3.300000
Kernouve,12284,Valid,H6,80000,1869-01-01T00:00:00.000,48.116670,-3.083330
Kesen,12286,Valid,H4,135000,1850-01-01T00:00:00.000,38.983330,141.616670
Khairpur,12288,Valid,EL6,13600,1873-01-01T00:00:00.000,29.533330,72.300000
Khanpur,12289,Valid,LL5,3698,1932-01-01T00:00:00.000,25.550000,83.116670
Kharkov,12291,Valid,L6,1500,1787-01-01T00:00:00.000,50.625000,35.075000
Kheragur,12294,Valid,L6,450,1860-01-01T00:00:00.000,26.950000,77.883330
Khetri,12296,Valid,H6,100,1867-01-01T00:00:00.000,28.016670,75.816670
Khmelevka,12297,Valid,L5,6109,1929-01-01T00:00:00.000,56.750000,75.333330
Khohar,12298,Valid,L3.6,9700,1910-01-01T00:00:00.000,25.100000,81.533330
Khor Temiki,12299,Valid,Aubrite,3200,1932-01-01T00:00:00.000,16.000000,36.000000
Kidairat,12300,Valid,H6,100000,1983-01-01T00:00:00.000,14.000000,28.000000
Kiel,12301,Valid,L6,737.6,1962-01-01T00:00:00.000,54.400000,10.150000
Kiffa,12303,Valid,H5,1500,1970-01-01T00:00:00.000,16.583330,-11.333330
Kijima (1906),12305,Valid,Stone-uncl,331,1906-01-01T00:00:00.000,36.850000,138.383330
Kikino,12306,Valid,H6,195,1809-01-01T00:00:00.000,55.000000,34.000000
Kilabo,12307,Valid,LL6,19000,2002-01-01T00:00:00.000,12.766670,9.800000
Kilbourn,12308,Valid,H5,772,1911-01-01T00:00:00.000,43.583330,-89.600000
Killeter,12309,Valid,H6,140,1844-01-01T00:00:00.000,54.666670,-7.666670
Kingai,12316,Valid,H6,67.400000000000006,1967-01-01T00:00:00.000,11.633330,24.683330
Kirbyville,12321,Valid,Eucrite-mmict,97.7,1906-01-01T00:00:00.000,30.750000,-95.950000
Kisvarsány,12325,Valid,L6,1550,1914-01-01T00:00:00.000,48.166670,22.308330
Kitchener,12326,Valid,L6,202.6,1998-01-01T00:00:00.000,43.383330,-80.383330
Klein-Wenden,12332,Valid,H6,3250,1843-01-01T00:00:00.000,51.600000,10.800000
Knyahinya,12335,Valid,L/LL5,500000,1866-01-01T00:00:00.000,48.900000,22.400000
Kobe,12336,Valid,CK4,136,1999-01-01T00:00:00.000,34.733330,135.166670
Kokubunji,12342,Valid,L6,11510,1986-01-01T00:00:00.000,34.300000,133.950000
Komagome,12343,Valid,Iron,238,1926-01-01T00:00:00.000,35.733330,139.750000
Konovo,12344,Valid,LL5,90,1931-01-01T00:00:00.000,42.516670,26.166670
Košice,53810,Valid,H5,4300,2010-01-01T00:00:00.000,48.763670,21.176330
Krähenberg,12353,Valid,LL5,16500,1869-01-01T00:00:00.000,49.326940,7.464720
Krasnoi-Ugol,12355,Valid,L6,2440,1829-01-01T00:00:00.000,54.033330,40.900000
Krasnyi Klyuch,12357,Valid,H5,4000,1946-01-01T00:00:00.000,54.333330,56.083330
Krutikha,12363,Valid,OC,845.2,1906-01-01T00:00:00.000,56.800000,77.000000
Krymka,12364,Valid,LL3.2,50000,1946-01-01T00:00:00.000,47.833330,30.766670
Kukschin,12368,Valid,L6,2250,1938-01-01T00:00:00.000,51.150000,31.700000
Kulak,12369,Valid,L5,453.6,1961-01-01T00:00:00.000,30.731110,66.802220
Kuleschovka,12370,Valid,L6,6000,1811-01-01T00:00:00.000,50.750000,33.500000
Kulp,12373,Valid,H6,3719,1906-01-01T00:00:00.000,41.116670,45.000000
Kunashak,12377,Valid,L6,200000,1949-01-01T00:00:00.000,55.783330,61.366670
Kunya-Urgench,12379,Valid,H5,1100000,1998-01-01T00:00:00.000,42.250000,59.200000
Kushiike,12381,Valid,OC,4460,1920-01-01T00:00:00.000,37.050000,138.383330
Kusiali,12382,Valid,L6,5,1860-01-01T00:00:00.000,29.683330,78.383330
Kutais,12383,Valid,H5,23,1977-01-01T00:00:00.000,44.516670,39.300000
Kuttippuram,12384,Valid,L6,45000,1914-01-01T00:00:00.000,10.833330,76.033330
Kuznetzovo,12385,Valid,L6,4047,1932-01-01T00:00:00.000,55.200000,75.333330
Kyushu,12390,Valid,L6,45000,1886-01-01T00:00:00.000,32.033330,130.633330
La Bécasse,12392,Valid,L6,2800,1879-01-01T00:00:00.000,47.083330,1.750000
La Charca,12394,Valid,OC,399,1878-01-01T00:00:00.000,20.666670,-101.283330
La Colina,12395,Valid,H5,2000,1924-01-01T00:00:00.000,-37.333330,-61.533330
La Criolla,12396,Valid,L6,45000,1985-01-01T00:00:00.000,-31.233330,-58.166670
Laborel,12408,Valid,H5,3833,1871-01-01T00:00:00.000,44.283330,5.583330
Lahrauli,12433,Valid,Ureilite,900,1955-01-01T00:00:00.000,26.783330,82.716670
L'Aigle,12434,Valid,L6,37000,1803-01-01T00:00:00.000,48.766670,0.633330
Cumulus Hills 04075,32531,Valid,Pallasite,9.6,2003-01-01T00:00:00.000,,
Lakangaon,12435,Valid,Eucrite-mmict,212.5,1910-01-01T00:00:00.000,21.866670,76.033330
Lalitpur,12451,Valid,L6,372,1887-01-01T00:00:00.000,24.450000,78.566670
Lancé,12455,Valid,CO3.5,51700,1872-01-01T00:00:00.000,47.700000,1.066670
Lancon,12456,Valid,H6,7000,1897-01-01T00:00:00.000,43.750000,5.116670
Långhalsen,12461,Valid,L6,2300,1947-01-01T00:00:00.000,58.850000,16.733330
Lanxi,12464,Valid,L6,1282,1986-01-01T00:00:00.000,46.241670,126.196110
Lanzenkirchen,12465,Valid,L4,7000,1925-01-01T00:00:00.000,47.750000,16.233330
Laochenzhen,12466,Valid,H5,14250,1987-01-01T00:00:00.000,33.133330,115.166670
Launton,12740,Valid,L6,1060,1830-01-01T00:00:00.000,51.900000,-1.116670
Lavrentievka,12743,Valid,L6,800,1938-01-01T00:00:00.000,52.450000,51.566670
Le Pressoir,12748,Valid,H5,3000,1845-01-01T00:00:00.000,47.166670,0.433330
Le Teilleul,12749,Valid,Howardite,780,1845-01-01T00:00:00.000,48.533330,-0.866670
Leedey,12755,Valid,L6,51500,1943-01-01T00:00:00.000,35.883330,-99.333330
Leeuwfontein,12756,Valid,L6,460,1912-01-01T00:00:00.000,-25.666670,28.366670
Leighlinbridge,12759,Valid,L6,271.39999999999998,1999-01-01T00:00:00.000,52.666670,-6.966670
Leighton,12760,Valid,H5,877,1907-01-01T00:00:00.000,34.583330,-87.500000
Leonovka,12765,Valid,L6,700,1900-01-01T00:00:00.000,52.266670,32.850000
Les Ormes,12769,Valid,L6,125,1857-01-01T00:00:00.000,48.350000,3.250000
Lesves,12772,Valid,L6,2000,1896-01-01T00:00:00.000,50.366670,4.733330
Lichtenberg,14646,Valid,H6,4000,1973-01-01T00:00:00.000,-26.150000,26.183330
Lillaverke,14650,Valid,H5,6862,1930-01-01T00:00:00.000,56.650000,15.866670
Limerick,14652,Valid,H5,50000,1813-01-01T00:00:00.000,52.566670,-8.783330
Linum,14655,Valid,L6,1862,1854-01-01T00:00:00.000,52.750000,12.900000
Lishui,14659,Valid,L5,498,1978-01-01T00:00:00.000,31.633330,118.983330
Lissa,14661,Valid,L6,12800,1808-01-01T00:00:00.000,50.200000,14.850000
Little Piney,14664,Valid,L5,491,1839-01-01T00:00:00.000,37.916670,-92.083330
Lixna,14670,Valid,H4,5213,1820-01-01T00:00:00.000,56.000000,26.433330
Lodran,14675,Valid,Lodranite,1000,1868-01-01T00:00:00.000,29.533330,71.800000
Lohawat,14678,Valid,Howardite,40000,1994-01-01T00:00:00.000,26.965560,72.626670
Lorton,52843,Valid,L6,329.7,2010-01-01T00:00:00.000,38.700660,-77.211630
Los Martinez,14708,Valid,L6,25,1894-01-01T00:00:00.000,38.000000,-0.833330
Lost City,14711,Valid,H5,17000,1970-01-01T00:00:00.000,36.008330,-95.150000
Louisville,14716,Valid,L6,1300,1977-01-01T00:00:00.000,38.250000,-85.750000
